time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-06T21:31:20.095Z,0.3498,122.4056,125.04,4.8,mb,,51,1.429,0.97,us,us7000gij9,2022-02-06T21:46:38.040Z,"76 km WSW of Gorontalo, Indonesia",earthquake,6.6,6.9,0.076,53,reviewed,us,us
2022-02-06T18:32:47.175Z,7.3926,-80.4755,10,4.6,mb,,68,2.595,1,us,us7000gii6,2022-02-07T00:00:03.257Z,"4 km WSW of Tonosí, Panama",earthquake,5,1.9,0.173,10,reviewed,us,us
2022-02-06T13:18:26.670Z,-29.048,-176.82,39.9,4.9,mb,,133,0.985,0.74,us,us7000gigq,2022-02-06T14:22:03.040Z,"Kermadec Islands region",earthquake,14.2,7.1,0.117,25,reviewed,us,us
2022-02-06T12:25:28.853Z,-29.6067,-176.5733,10,4.8,mb,,74,21.345,0.81,us,us7000gigi,2022-02-07T05:46:01.040Z,"Kermadec Islands region",earthquake,14.7,1.9,0.107,27,reviewed,us,us
2022-02-06T07:42:19.618Z,-31.5593,179.7461,413.48,4.5,mb,,90,3.05,0.57,us,us7000gif1,2022-02-06T08:07:32.040Z,"Kermadec Islands region",earthquake,13.8,7.2,0.112,23,reviewed,us,us
2022-02-06T07:22:33.321Z,62.7433,-148.7115,57.6,5.2,ml,,,,0.91,ak,ak0221pb6nv5,2022-02-10T07:32:39.311Z,"73 km S of Cantwell, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2022-02-06T07:13:18.677Z,10.5879,-73.198,73.99,5.1,mb,,47,1.159,1.09,us,us7000gie4,2022-02-07T00:46:25.463Z,"15 km NNE of Valledupar, Colombia",earthquake,7.1,6.8,0.027,437,reviewed,us,us
2022-02-06T03:51:21.634Z,13.8999,-92.2429,32.96,4.6,mb,,182,2.37,1.14,us,us7000gicq,2022-02-06T04:06:29.040Z,"56 km SW of Champerico, Guatemala",earthquake,9,6.4,0.033,269,reviewed,us,us
2022-02-06T00:42:25.066Z,-21.7695,-176.5393,207.7,5.1,mb,,36,6.477,0.76,us,us7000gibt,2022-02-06T01:01:45.040Z,"153 km WSW of Haveluloto, Tonga",earthquake,11,6.7,0.029,397,reviewed,us,us
2022-02-05T22:50:28.354Z,-7.3617,121.3039,10,4.6,mb,,95,1.567,1.18,us,us7000gibg,2022-02-05T23:27:58.040Z,"166 km NNE of Ruteng, Indonesia",earthquake,7.6,1.9,0.141,15,reviewed,us,us
2022-02-05T22:30:10.944Z,41.6117,142.0428,56.74,4.5,mwr,,124,0.925,0.95,us,us7000gibe,2022-02-05T23:17:42.040Z,"77 km ENE of Mutsu, Japan",earthquake,3.2,6.3,0.069,20,reviewed,us,us
2022-02-05T21:18:50.916Z,52.5661,143.2516,10,5.2,mww,,74,5.622,0.7,us,us7000giav,2022-02-07T16:19:14.040Z,"85 km N of Nogliki, Russia",earthquake,6.3,1.5,0.069,20,reviewed,us,us
2022-02-05T20:12:58.294Z,3.6955,126.7518,47.14,4.6,mb,,103,2.968,0.72,us,us7000gia9,2022-02-05T23:55:03.040Z,"236 km SE of Sarangani, Philippines",earthquake,7.9,7.7,0.07,61,reviewed,us,us
2022-02-05T17:47:49.360Z,-33.1381,-179.5549,72.63,5.1,mb,,101,4.109,0.85,us,us7000gi9n,2022-02-05T18:15:44.040Z,"south of the Kermadec Islands",earthquake,8.6,6.3,0.099,37,reviewed,us,us
2022-02-05T17:31:47.182Z,-47.2087,165.3787,16.17,5,mww,,58,1.375,0.85,us,us7000gi9j,2022-02-08T15:42:41.040Z,"222 km WSW of Riverton, New Zealand",earthquake,8.3,3.4,0.083,14,reviewed,us,us
2022-02-05T09:06:02.893Z,-21.3091,-178.9759,617.63,4.5,mb,,156,4.519,0.64,us,us7000gj0d,2022-02-08T04:14:57.040Z,"Fiji region",earthquake,8,9.4,0.097,31,reviewed,us,us
2022-02-05T08:20:47.978Z,-17.2079,-174.3171,184.68,4.7,mb,,139,7.301,0.71,us,us7000gi7w,2022-02-05T08:37:59.040Z,"149 km SSW of Hihifo, Tonga",earthquake,13.4,7.9,0.083,44,reviewed,us,us
2022-02-05T05:20:45.773Z,53.6151,-163.3644,14.92,4.5,mwr,,167,1.189,0.57,us,us7000gi6u,2022-02-05T08:40:49.339Z,"137 km S of False Pass, Alaska",earthquake,6.5,5.2,0.071,19,reviewed,us,us
2022-02-05T04:16:01.024Z,36.445,71.1166,209.05,5.7,mww,,20,0.806,0.9,us,us7000gi69,2022-02-07T04:40:47.130Z,"45 km SW of Ashk?sham, Afghanistan",earthquake,6.7,5,0.054,33,reviewed,us,us
2022-02-05T03:20:23.975Z,-9.0173,124.0338,109.59,4.7,mb,,101,0.768,1.12,us,us7000gi62,2022-02-05T03:42:49.040Z,"43 km WNW of Pante Makasar, Timor Leste",earthquake,9,7.9,0.115,25,reviewed,us,us
2022-02-05T02:46:40.101Z,31.7261,142.4334,10,4.6,mb,,136,2.612,0.53,us,us7000gi61,2022-02-05T03:34:42.040Z,"Izu Islands, Japan region",earthquake,12.1,1.9,0.098,33,reviewed,us,us
2022-02-05T01:18:05.595Z,29.806,-42.9099,10,5.1,mb,,57,16.474,0.83,us,us7000gi4s,2022-02-05T01:39:44.040Z,"northern Mid-Atlantic Ridge",earthquake,10.1,1.8,0.037,237,reviewed,us,us
2022-02-04T23:15:37.042Z,-17.1177,-173.4552,10,5,mb,,70,8.13,0.56,us,us7000gi46,2022-02-06T06:24:54.114Z,"133 km SSE of Hihifo, Tonga",earthquake,10.2,1.9,0.07,64,reviewed,us,us
2022-02-04T21:32:18.217Z,-30.4671,-176.6025,10,4.9,mb,,146,1.659,0.85,us,us7000gi3e,2022-02-04T22:25:52.040Z,"Kermadec Islands region",earthquake,9.4,2,0.114,25,reviewed,us,us
2022-02-04T21:24:04.153Z,8.4261,-83.1154,24.34,4.8,mwr,,131,0.559,0.83,us,us7000gi36,2022-02-05T16:42:09.598Z,"19 km S of Golfito, Costa Rica",earthquake,6.4,5,0.08,15,reviewed,us,us
2022-02-04T20:25:09.550Z,-48.0343,99.4981,10,6.3,mww,,41,18.982,0.63,us,us7000gi25,2022-02-05T20:28:45.435Z,"southeast Indian Ridge",earthquake,4.4,1.7,0.071,19,reviewed,us,us
2022-02-04T15:59:20.420Z,-18.2529,167.7591,10,4.9,mb,,64,2.84,1.09,us,us7000ghzj,2022-02-05T02:05:11.278Z,"81 km SW of Port-Vila, Vanuatu",earthquake,6.8,1.7,0.093,36,reviewed,us,us
2022-02-04T13:06:30.206Z,-20.9011,-175.6577,10,5,mb,,133,6.717,1.05,us,us7000gi7h,2022-02-05T07:22:12.040Z,"53 km WNW of Haveluloto, Tonga",earthquake,11.2,1.9,0.082,47,reviewed,us,us
2022-02-04T10:10:46.759Z,-7.2708,105.9767,43.77,5.2,mww,,49,1.67,0.7,us,us7000ghwb,2022-02-05T05:48:10.540Z,"70 km WSW of Pelabuhanratu, Indonesia",earthquake,2.7,5,0.093,11,reviewed,us,us
2022-02-04T09:30:42.442Z,-32.0218,-178.1479,10,4.7,mb,,175,2.757,1.07,us,us7000ghw7,2022-02-04T09:54:02.040Z,"south of the Kermadec Islands",earthquake,15,2,0.138,16,reviewed,us,us
2022-02-04T07:48:02.186Z,-27.9286,-67.0052,164.36,4.6,mb,,126,2.18,0.76,us,us7000ghts,2022-02-04T08:07:27.040Z,"26 km SSE of Londres, Argentina",earthquake,7.9,8.1,0.093,34,reviewed,us,us
2022-02-04T06:18:09.377Z,-29.5265,-176.9464,10,5,mb,,79,0.889,0.47,us,us7000ghtl,2022-02-04T06:37:59.040Z,"Kermadec Islands region",earthquake,10.5,1.9,0.111,26,reviewed,us,us
2022-02-04T01:55:22.951Z,-29.4204,-176.9606,10,5,mb,,80,0.852,0.94,us,us7000ghsh,2022-02-04T02:25:47.040Z,"Kermadec Islands region",earthquake,13.1,1.9,0.189,10,reviewed,us,us
2022-02-04T01:43:54.556Z,2.3485,128.5349,231.36,4.5,mb,,122,1.953,0.96,us,us7000ghsc,2022-02-04T02:02:28.040Z,"90 km NE of Tobelo, Indonesia",earthquake,11.3,8.4,0.106,29,reviewed,us,us
2022-02-03T23:53:32.143Z,54.2672,-161.6399,34.8,5.4,mww,,65,0.81,0.84,us,us7000ghrq,2022-02-10T00:03:40.966Z,"98 km SSE of King Cove, Alaska",earthquake,3.5,3.2,0.04,60,reviewed,us,us
2022-02-03T19:31:28.807Z,36.5239,70.4173,202.28,4.9,mb,,30,0.613,0.73,us,us7000ghq2,2022-02-10T22:14:58.040Z,"50 km E of Farkh?r, Afghanistan",earthquake,7.2,4.5,0.037,235,reviewed,us,us
2022-02-03T18:12:39.915Z,-28.6322,74.0158,10,4.5,mb,,80,43.133,0.82,us,us7000gjdr,2022-02-09T19:44:04.040Z,"Mid-Indian Ridge",earthquake,9.3,1.9,0.163,11,reviewed,us,us
2022-02-03T17:01:14.336Z,0.3124,126.3694,41.62,4.9,mb,,92,1.096,0.67,us,us7000ghmx,2022-02-09T18:29:02.040Z,"124 km WSW of Ternate, Indonesia",earthquake,7.8,7.2,0.079,55,reviewed,us,us
2022-02-03T16:29:54.632Z,35.8804,65.3953,26.47,4.8,mb,,39,3.272,0.82,us,us7000ghmf,2022-02-04T17:39:41.040Z,"10 km S of Darz?b, Afghanistan",earthquake,6.5,4.1,0.043,178,reviewed,us,us
